id,name,agency,prefecture,overview,amount,rate,startDate,deadline,target,industries,purposes,conditions,documents,url
1,【北海道根室市】ものづくり補助金,根室市,北海道,"新製品の開発や販路の開拓、既存製品の改良などを行う市内事業者を支援し、地域産業の振興及び雇用の拡大を図る補助金です。",最大50万円,1/2以内,2025-04-01,2026-01-30,根室市内に事業所を持つ中小企業者,"製造業","製品開発,販路開拓","市内に事業所、店舗を構える中小企業者であること;市税を滞納していないこと;新製品開発、市場開拓、既存製品の改良のいずれかに関する事業であること","交付申請書;事業計画書;収支予算書;市税の納税証明書",https://www.city.nemuro.hokkaido.jp/lifeinfo/kakuka/suisankeizaibu/shoukoukankou/gyoumuannai/6/1294.html
2,【東京都北区】IT・IoT導入支援事業補助金,東京都北区,東京都,"区内中小企業が、生産性向上や経営基盤強化等を図ることを目的として、IT・IoT等のツールを導入する経費の一部を補助します。",最大100万円,1/2以内,2025-04-01,2026-02-27,北区内に主たる事業所を有する中小企業者,"全業種","IT化,生産性向上,DX","北区内に主たる事業所を有し、引き続き事業を営む意思があること;法人都民税または特別区民税・都民税を滞納していないこと;IT・IoT相談員との事前相談が必須","交付申請書;企業概要;導入システムの概要;納税証明書;経費の支出明細書",https://www.city.kita.lg.jp/business/industry/1011356/1011509/1011519.html
3,【神奈川県横浜市】中小企業の設備投資（簡易手続き）,横浜市,神奈川県,"脱炭素化の取組（省エネ・再エne設備の導入）と併せて、付加価値額（給与総額）を増加させる計画の中小企業を支援します。",最大100万円,3/4以内,2025-07-01,2025-10-31,横浜市内に事業所を有する中小企業,"全業種","設備投資,脱炭素,省エネ","横浜市内に事業所を有すること;脱炭素化と付加価値額増加の両方の目標を達成する計画であること","申請書;事業計画書;見積書",https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/capex/carbon-kani.html
4,【愛知県名古屋市】子ども・子育て支援センター補助金,名古屋市,愛知県,"地域における子育て支援機能の充実を図るため、子ども・子育て支援センターの運営にかかる経費を補助します。",事業費による,事業費による,2025-04-01,2025-09-30,名古屋市内において地域子育て支援拠点を運営する法人,"福祉,教育","子育て支援,地域貢献","市内で地域子育て支援拠点を運営する法人であること;市の定める基準を満たす事業内容であること","申請書;事業計画書;収支予算書;法人登記事項証明書",https://www.city.nagoya.jp/kodomoseishonen/page/0000163327.html
5,【大阪府】新法民泊施設の環境整備促進事業補助金,大阪府,大阪府,"府内の新法民泊施設における、来阪旅行者の利便性や快適性を向上させるための受入対応強化の取組みを支援します。",最大40万円,1/2以内,2025-07-07,2026-02-27,大阪府内の新法民泊施設の届出事業者及び届出予定事業者,"宿泊業,観光業","インバウンド,環境整備","インバウンド受入対応、宿泊客の利便性・満足度向上、災害時対応等に係る事業であること","交付申請書;事業計画書;収支予算書",https://www.pref.osaka.lg.jp/o070070/toshimiryoku/syukuhaku_hojyo/r7shinpou_hojyo.html
6,【京都府宇治市】宇治NEXT ACTION 補助金,宇治市,京都府,"新たな需要の獲得や、働き方改革・生産性向上など、多様な社会経済活動に対応するための前向きなアクション（取組）を総合的に支援します。",最大50万円,2/3,2025-06-23,2025-10-31,"宇治市内に事業所を有する中小企業、小規模事業者等","全業種","経営改善,生産性向上,働き方改革","市内に事業所を有すること;新たな取り組みに関する具体的な計画があること","申請書;事業計画書;収支予算書",https://www.city.uji.kyoto.jp/site/ujinext/91170.html
7,【兵庫県姫路市】中小企業チャレンジ応援事業補助金,姫路市,兵庫県,"新製品・新技術・新サービスの開発や新たな販路開拓、DXの推進など、新たな事業展開に挑戦する中小企業を支援します。",最大100万円,1/2,2025-04-21,予算上限まで,姫路市内に主たる事業所を有する中小企業者,"全業種","新事業展開,DX,販路開拓,製品開発","市内に主たる事業所があること;新たな事業展開への具体的な計画があること","申請書;事業計画書;市税の完納証明書",https://www.city.himeji.lg.jp/sangyo/0000009322.html
8,【広島県広島市】地域防犯カメラ設置補助制度,広島市,広島県,"地域の自主的な防犯活動を促進し、安全で安心なまちづくりを推進するため、地域団体が設置する防犯カメラの経費の一部を補助します。",1台につき最大30万円,3/4以内,2025-04-01,2025-06-30,町内会・自治会、連合町内会、防犯組合等の地域団体,"地域団体","防犯,安全対策,地域貢献","道路、公園等の公共空間を撮影対象とすること","事前協議申請書;補助金交付申請書;実績報告書",https://www.city.hiroshima.lg.jp/living/1035962/1021171/1025679/1020493.html
9,【福岡県福岡市】福岡市ステップアップ助成事業,福岡市,福岡県,"成長性の高いビジネスプランを持つ創業者に対して、成長のための課題改善に要する資金として補助金を交付する事業です。",最大100万円,対象経費による,2025-07-16,2025-09-11,福岡市内に本社を置く創業10年未満の中小企業者等,"全業種","創業支援","福岡市内に本社を置く創業10年未満の中小企業者;成長性の高いビジネスプランを持つこと","申請書;事業計画書;決算書",https://www.city.fukuoka.lg.jp/keizai/r-support/sougyou/012_2_2.html
10,【沖縄県那覇市】新商品開発支援事業補助金,那覇市,沖縄県,"那覇市の地域資源を活用した新商品や新サービスの開発、改良に係る経費の一部を補助します。",最大50万円,2/3以内,2025-07-01,2025-09-10,那覇市内に主たる事業所を有する中小企業者等,"全業種","製品開発,地域資源活用","市内に主たる事業所があること;地域資源を活用した開発であること","申請書;事業計画書;市税の納税証明書",https://www.city.naha.okinawa.jp/business/touroku/nyuusatukoukoku/r7/R7shinshohinhojyo.html